Order ID,Customer ID,SalesPerson,Order Date,Ship Date,Days to Ship,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Sales Amount,Shipping Amount,Ship Mode,Product Container
4800,C517,Bob,1/4/2020,1/11/2020,7,Low,SKU515,17,4.91,0.01,82.64,0.5,Regular Air,Small Box
4800,C517,John,1/4/2020,1/9/2020,5,Low,SKU779,7,11.55,0.07,75.19,2.36,Regular Air,Wrap Bag
56645,C323,John,1/5/2020,1/5/2020,0,Low,SKU680,46,30.98,0.02,1396.58,17.08,Regular Air,Small Box
56645,C323,Richard,1/5/2020,1/7/2020,2,Low,SKU231,42,348.21,0.07,13601.08,40.19,Delivery Truck,Jumbo Box
57698,C591,John,1/5/2020,1/6/2020,1,Critical,SKU309,10,7.77,0.05,73.82,9.23,Regular Air,Small Box
57698,C591,Bob,1/5/2020,1/7/2020,2,Critical,SKU314,13,363.25,0.04,4533.36,19.99,Regular Air,Small Box
54115,C111,Richard,1/6/2020,1/11/2020,5,Low,SKU284,24,4.37,0.01,103.83,5.15,Regular Air,Small Box
54115,C111,Bob,1/6/2020,1/11/2020,5,Low,SKU369,39,4.98,0.03,188.39,4.95,Regular Air,Small Box
45284,C650,Bob,1/6/2020,1/7/2020,1,High,SKU750,7,11.66,0,81.62,8.99,Regular Air,Small Pack
5409,C235,Richard,1/7/2020,1/12/2020,5,Low,SKU600,11,3.98,0.01,43.34,2.97,Regular Air,Wrap Bag
14726,C623,Richard,1/7/2020,1/7/2020,0,Low,SKU986,15,20.95,0.07,292.25,4,Regular Air,Small Box
26818,C234,Bob,1/7/2020,1/8/2020,1,Not Specified,SKU406,23,8.85,0.05,193.37,5.6,Regular Air,Small Box
26818,C234,Bob,1/7/2020,1/9/2020,2,Not Specified,SKU326,5,11.97,0.01,59.25,4.98,Express Air,Small Box
26818,C234,Richard,1/7/2020,1/8/2020,1,Not Specified,SKU344,36,7.3,0.1,236.52,7.72,Regular Air,Small Box
42886,C449,John,1/7/2020,1/9/2020,2,Medium,SKU527,42,3.75,0.02,154.35,0.5,Regular Air,Small Box
59456,C414,Richard,1/7/2020,1/7/2020,0,Low,SKU310,30,4.48,0.06,126.34,49,Regular Air,Large Box
7042,C216,Bob,1/7/2020,1/9/2020,2,Medium,SKU233,4,376.13,0.07,1399.2,85.63,Delivery Truck,Jumbo Box
54307,C458,Richard,1/7/2020,1/8/2020,1,High,SKU336,41,4.91,0.08,185.21,5.68,Regular Air,Small Box
54307,C458,John,1/7/2020,1/8/2020,1,High,SKU210,15,14.89,0.01,221.12,13.56,Regular Air,Large Box
54307,C458,Bob,1/7/2020,1/8/2020,1,High,SKU242,14,280.98,0.04,3776.37,35.67,Delivery Truck,Jumbo Box
14820,C526,Richard,1/8/2020,1/10/2020,2,High,SKU1203,39,7.99,0.04,299.15,5.03,Express Air,Medium Box
48704,C438,John,1/8/2020,1/9/2020,1,High,SKU1154,11,125.99,0.01,1372.03,8.99,Regular Air,Small Box
51424,C769,Richard,1/8/2020,1/9/2020,1,Not Specified,SKU856,48,2.62,0.1,113.18,0.8,Regular Air,Wrap Bag
51424,C769,Bob,1/8/2020,1/10/2020,2,Not Specified,SKU944,5,16.74,0.05,79.52,7.04,Regular Air,Small Box
34662,C203,Richard,1/9/2020,1/11/2020,2,Critical,SKU949,35,370.98,0.09,11815.71,99,Delivery Truck,Jumbo Drum
44033,C437,Bob,1/9/2020,1/11/2020,2,Critical,SKU221,45,124.49,0.03,5433.99,51.94,Delivery Truck,Jumbo Box
10053,C182,Bob,1/9/2020,1/12/2020,3,High,SKU1029,31,4.89,0,151.59,4.93,Regular Air,Small Pack
10053,C182,John,1/9/2020,1/11/2020,2,High,SKU251,44,150.98,0,6643.12,39.25,Delivery Truck,Jumbo Box
18275,C331,Bob,1/9/2020,1/13/2020,4,Low,SKU153,25,13.4,0.07,311.55,4.95,Regular Air,Small Pack
51970,C027,Richard,1/10/2020,1/12/2020,2,Not Specified,SKU1108,1,115.99,0.06,109.03,56.14,Delivery Truck,Jumbo Drum
22663,C489,John,1/10/2020,1/10/2020,0,Low,SKU051,35,280.98,0.07,9145.9,57,Delivery Truck,Jumbo Drum
22663,C489,John,1/10/2020,1/15/2020,5,Low,SKU1105,15,500.98,0.08,6913.52,28.14,Delivery Truck,Jumbo Drum
44036,C013,John,1/10/2020,1/12/2020,2,High,SKU782,40,5.84,0.01,231.26,1.2,Express Air,Wrap Bag
59969,C248,John,1/10/2020,1/12/2020,2,High,SKU469,42,9.9,0.01,411.64,1.39,Regular Air,Small Box
59969,C248,Richard,1/10/2020,1/11/2020,1,High,SKU927,16,15.7,0,251.2,11.25,Regular Air,Small Box
54786,C494,Richard,1/10/2020,1/12/2020,2,Not Specified,SKU961,30,13.48,0.08,372.05,4.51,Regular Air,Small Box
47879,C737,Richard,1/10/2020,1/11/2020,1,Critical,SKU557,19,9.11,0.08,159.24,2.15,Regular Air,Wrap Bag
21382,C036,Bob,1/11/2020,1/14/2020,3,Critical,SKU643,27,4.98,0,134.46,7.44,Regular Air,Small Box
5382,C540,Bob,1/11/2020,1/18/2020,7,Low,SKU191,30,8.98,0.05,255.93,4.19,Regular Air,Small Pack
7783,C279,John,1/11/2020,1/12/2020,1,Medium,SKU406,3,8.85,0.03,25.75,5.6,Regular Air,Small Box
21382,C036,Richard,1/11/2020,1/13/2020,2,Critical,SKU044,21,300.98,0.04,6067.76,64.73,Delivery Truck,Jumbo Drum
21382,C036,Bob,1/11/2020,1/13/2020,2,Critical,SKU1024,11,29.99,0.08,303.5,5.5,Regular Air,Small Box
292,C782,Bob,1/11/2020,1/12/2020,1,High,SKU469,43,9.9,0.08,391.64,1.39,Regular Air,Small Box
28485,C307,Bob,1/11/2020,1/11/2020,0,High,SKU796,12,4.28,0.07,47.76,0.94,Regular Air,Wrap Bag
51269,C549,Richard,1/11/2020,1/12/2020,1,High,SKU371,2,8.69,0,17.38,2.99,Regular Air,Small Box
51269,C549,Bob,1/11/2020,1/12/2020,1,Critical,SKU195,20,22.98,0.08,422.83,7.58,Regular Air,Small Box
52068,C610,Richard,1/12/2020,1/12/2020,0,Not Specified,SKU450,31,5.28,0.04,157.13,2.99,Regular Air,Small Box
52068,C610,John,1/12/2020,1/12/2020,0,Not Specified,SKU1126,47,517.48,0.01,24078.34,16.63,Delivery Truck,Jumbo Box
52068,C610,Richard,1/12/2020,1/13/2020,1,Not Specified,SKU014,21,58.14,0.07,1135.47,36.61,Delivery Truck,Jumbo Box
52068,C610,Richard,1/12/2020,1/14/2020,2,Not Specified,SKU049,17,25.98,0.07,410.74,14.36,Delivery Truck,Jumbo Drum
6501,C057,Bob,1/12/2020,1/14/2020,2,High,SKU719,35,6.48,0.06,213.19,6.74,Regular Air,Small Box
6501,C057,Richard,1/12/2020,1/14/2020,2,High,SKU1253,46,125.99,0.09,5273.94,7.69,Regular Air,Small Box
22914,C005,Bob,1/12/2020,1/13/2020,1,Critical,SKU295,30,11.7,0.07,326.43,6.96,Regular Air,Medium Box
36357,C171,Richard,1/13/2020,1/14/2020,1,Not Specified,SKU1077,38,449.99,0.01,16928.62,49,Delivery Truck,Jumbo Drum
13027,C293,Richard,1/14/2020,1/16/2020,2,Critical,SKU594,42,6.78,0.03,276.22,6.18,Regular Air,Small Box
16807,C619,Richard,1/14/2020,1/15/2020,1,Medium,SKU590,48,35.44,0.08,1565.03,4.92,Regular Air,Small Box
16807,C619,John,1/14/2020,1/16/2020,2,Medium,SKU569,30,7.4,0.09,202.02,1.71,Regular Air,Wrap Bag
3685,C548,Bob,1/15/2020,1/16/2020,1,Medium,SKU804,29,3.28,0,95.12,5,Regular Air,Wrap Bag
29573,C526,Richard,1/15/2020,1/17/2020,2,Critical,SKU659,43,18.97,0.05,774.92,9.54,Regular Air,Small Box
23268,C618,Richard,1/15/2020,1/17/2020,2,High,SKU657,5,48.04,0.02,235.4,5.79,Regular Air,Small Box
23268,C618,John,1/15/2020,1/17/2020,2,High,SKU595,14,3.6,0.09,45.86,2.2,Express Air,Wrap Bag
29090,C553,Bob,1/15/2020,1/16/2020,1,Medium,SKU513,24,4.13,0.02,97.14,0.99,Regular Air,Small Box
29090,C553,Richard,1/15/2020,1/15/2020,0,Medium,SKU957,36,10.48,0.02,369.73,6.91,Regular Air,Small Box
9632,C034,Richard,1/15/2020,1/19/2020,4,Low,SKU411,33,120.98,0.09,3633.03,9.07,Regular Air,Small Box
52837,C411,Bob,1/17/2020,1/19/2020,2,Critical,SKU919,32,193.17,0.08,5686.92,19.99,Regular Air,Small Box
51044,C465,Richard,1/17/2020,1/17/2020,0,Low,SKU469,17,9.9,0.1,151.47,1.39,Regular Air,Small Box
51044,C465,Richard,1/17/2020,1/21/2020,4,Low,SKU038,26,50.98,0.07,1232.7,14.19,Delivery Truck,Jumbo Drum
51044,C465,Bob,1/17/2020,1/24/2020,7,Low,SKU741,19,5.84,0.01,109.85,0.83,Regular Air,Wrap Bag
15491,C532,Richard,1/17/2020,1/17/2020,0,Medium,SKU1260,5,205.99,0.01,1019.65,2.5,Regular Air,Small Box
42753,C055,Bob,1/17/2020,1/19/2020,2,Medium,SKU1259,45,115.99,0.1,4697.6,3,Regular Air,Small Box
11969,C343,Bob,1/18/2020,1/19/2020,1,Not Specified,SKU895,16,110.98,0.08,1633.63,35,Regular Air,Large Box
11969,C343,Richard,1/18/2020,1/20/2020,2,Not Specified,SKU235,9,212.6,0.03,1856,110.2,Delivery Truck,Jumbo Box
11969,C343,Richard,1/18/2020,1/20/2020,2,Not Specified,SKU257,42,349.45,0.1,13209.21,60,Delivery Truck,Jumbo Drum
50433,C365,Richard,1/18/2020,1/20/2020,2,Critical,SKU1123,50,145.45,0.1,6545.25,17.85,Delivery Truck,Jumbo Drum
33956,C003,Bob,1/18/2020,1/20/2020,2,Low,SKU189,13,7.59,0,98.67,4,Regular Air,Wrap Bag
33285,C532,Bob,1/18/2020,1/19/2020,1,High,SKU942,5,12.28,0.01,60.79,6.13,Regular Air,Small Box
8034,C227,Bob,1/18/2020,1/18/2020,0,High,SKU327,31,10.98,0.01,336.98,3.99,Regular Air,Small Box
8034,C227,Bob,1/18/2020,1/19/2020,1,High,SKU743,13,16.99,0.02,216.45,8.99,Regular Air,Small Pack
8034,C227,Bob,1/18/2020,1/20/2020,2,High,SKU246,36,44.43,0.08,1471.52,46.59,Delivery Truck,Jumbo Box
6886,C514,John,1/18/2020,1/19/2020,1,High,SKU929,46,178.47,0.08,7552.85,19.99,Regular Air,Small Box
6016,C706,Richard,1/19/2020,1/19/2020,0,High,SKU573,19,11.48,0.07,202.85,5.43,Regular Air,Small Box
19617,C345,John,1/19/2020,1/21/2020,2,Low,SKU1137,38,23.99,0.03,884.27,6.3,Regular Air,Medium Box
19617,C345,Bob,1/19/2020,1/19/2020,0,Low,SKU1256,3,65.99,0.07,184.11,8.99,Regular Air,Small Box
38690,C696,Richard,1/19/2020,1/23/2020,4,Low,SKU1137,28,23.99,0.02,658.29,6.3,Regular Air,Medium Box
29223,C317,John,1/19/2020,1/21/2020,2,High,SKU050,48,500.98,0.04,23085.16,26,Delivery Truck,Jumbo Drum
55618,C111,Bob,1/20/2020,1/21/2020,1,Medium,SKU1179,48,35.99,0.04,1658.42,1.25,Regular Air,Small Pack
11428,C089,John,1/20/2020,1/20/2020,0,Medium,SKU497,16,90.48,0,1447.68,19.99,Regular Air,Small Box
40706,C581,Richard,1/20/2020,1/21/2020,1,Medium,SKU516,40,2.61,0.08,96.05,0.5,Express Air,Small Box
28582,C021,Richard,1/21/2020,1/22/2020,1,Not Specified,SKU1063,40,39.24,0.06,1475.42,1.99,Express Air,Small Pack
28582,C021,John,1/21/2020,1/22/2020,1,Not Specified,SKU597,45,8.01,0.02,353.24,2.87,Regular Air,Wrap Bag
9761,C759,Bob,1/21/2020,1/22/2020,1,Not Specified,SKU1113,2,90.97,0.04,174.66,14,Delivery Truck,Jumbo Drum
9761,C759,Richard,1/21/2020,1/23/2020,2,Not Specified,SKU599,23,5.98,0.08,126.54,7.15,Regular Air,Small Box
44549,C092,John,1/21/2020,1/22/2020,1,Medium,SKU438,5,2.08,0.08,9.57,1.49,Regular Air,Small Box
6373,C223,John,1/22/2020,1/23/2020,1,Not Specified,SKU328,1,60.97,0.01,60.36,4.5,Regular Air,Small Box
41441,C764,John,1/22/2020,1/23/2020,1,Medium,SKU336,41,4.91,0,201.31,5.68,Regular Air,Small Box
2688,C741,Bob,1/22/2020,1/23/2020,1,High,SKU1201,31,85.99,0.1,2399.12,1.25,Regular Air,Small Pack
2688,C741,Bob,1/22/2020,1/23/2020,1,High,SKU1044,7,20.97,0.09,133.58,6.5,Regular Air,Small Box
2688,C741,Richard,1/22/2020,1/24/2020,2,High,SKU1247,11,155.99,0.01,1698.73,3.9,Regular Air,Small Box
46243,C489,Bob,1/23/2020,1/25/2020,2,Low,SKU558,31,18.97,0.02,576.31,9.03,Express Air,Small Box
46243,C489,Bob,1/23/2020,1/28/2020,5,Low,SKU795,1,2.88,0.03,2.79,0.7,Regular Air,Wrap Bag
46243,C489,Bob,1/23/2020,1/30/2020,7,Low,SKU816,31,5.84,0.05,171.99,1,Regular Air,Wrap Bag
44647,C656,Bob,1/23/2020,1/23/2020,0,Low,SKU050,47,500.98,0.06,22133.3,26,Delivery Truck,Jumbo Drum
44647,C656,John,1/23/2020,1/27/2020,4,Low,SKU942,24,12.28,0.05,279.98,6.13,Regular Air,Small Box
26053,C187,Bob,1/23/2020,1/23/2020,0,Low,SKU558,48,18.97,0.07,846.82,9.03,Express Air,Small Box
54177,C489,Bob,1/24/2020,1/24/2020,0,Critical,SKU455,12,42.8,0.1,462.24,2.99,Regular Air,Small Box
54177,C489,John,1/24/2020,1/26/2020,2,Critical,SKU715,25,6.48,0.1,145.8,7.37,Regular Air,Small Box
26759,C096,Bob,1/24/2020,1/26/2020,2,Not Specified,SKU463,30,7.84,0.03,228.14,4.71,Regular Air,Small Box
48003,C199,Richard,1/25/2020,1/27/2020,2,Medium,SKU1005,30,5.98,0.05,170.43,4.38,Regular Air,Small Pack
48003,C199,Bob,1/25/2020,1/27/2020,2,Medium,SKU165,12,6.48,0.04,74.65,9.68,Regular Air,Small Pack
32966,C717,Richard,1/25/2020,2/1/2020,7,Low,SKU1099,4,270.97,0.08,997.17,28.06,Delivery Truck,Jumbo Drum
32966,C717,Bob,1/25/2020,1/29/2020,4,Low,SKU825,43,1.6,0.01,68.11,1.29,Regular Air,Wrap Bag
28129,C580,John,1/25/2020,1/26/2020,1,Medium,SKU637,5,19.98,0.05,94.9,5.86,Regular Air,Small Box
45984,C353,John,1/26/2020,1/28/2020,2,Medium,SKU802,27,2.94,0.01,78.59,0.96,Regular Air,Wrap Bag
36418,C647,Richard,1/26/2020,1/27/2020,1,Not Specified,SKU353,33,6.23,0.08,189.14,6.97,Express Air,Small Box
31170,C732,John,1/26/2020,1/28/2020,2,Medium,SKU1062,32,10.13,0.09,294.99,1.99,Regular Air,Small Pack
4804,C435,John,1/26/2020,1/27/2020,1,High,SKU1016,13,33.98,0,441.74,1.99,Regular Air,Small Pack
41760,C269,John,1/26/2020,1/31/2020,5,Low,SKU403,21,315.98,0.04,6370.16,19.99,Regular Air,Small Box
41760,C269,John,1/26/2020,2/2/2020,7,Low,SKU149,22,9.98,0,219.56,12.52,Regular Air,Small Box
41760,C269,John,1/26/2020,1/31/2020,5,Low,SKU1162,7,115.99,0.08,746.98,2.5,Regular Air,Small Box
41760,C269,Bob,1/26/2020,1/31/2020,5,Low,SKU1158,40,95.99,0.05,3647.62,8.99,Regular Air,Small Box
36484,C123,John,1/27/2020,1/28/2020,1,Critical,SKU1241,41,65.99,0.01,2678.53,3.9,Express Air,Small Box
46852,C688,John,1/27/2020,1/29/2020,2,Not Specified,SKU987,46,34.98,0.02,1576.9,7.53,Express Air,Small Box
46852,C688,Bob,1/27/2020,1/28/2020,1,Not Specified,SKU1029,44,4.89,0.01,213.01,4.93,Regular Air,Small Pack
8070,C635,Bob,1/27/2020,1/28/2020,1,Medium,SKU818,14,40.97,0,573.58,8.99,Regular Air,Small Pack
3168,C359,John,1/28/2020,2/2/2020,5,Low,SKU185,14,5.28,0.04,70.96,3.96,Regular Air,Wrap Bag
9925,C143,John,1/29/2020,2/1/2020,3,Critical,SKU362,43,41.94,0.1,1623.08,2.99,Express Air,Small Box
9925,C143,John,1/29/2020,1/31/2020,2,Critical,SKU450,17,5.28,0.07,83.48,2.99,Regular Air,Small Box
9925,C143,Richard,1/29/2020,1/31/2020,2,Critical,SKU752,31,21.38,0.02,649.52,8.99,Regular Air,Small Pack
20003,C703,Richard,1/29/2020,1/30/2020,1,Medium,SKU979,39,19.98,0.05,740.26,4,Regular Air,Small Box
9253,C196,Bob,1/29/2020,1/31/2020,2,Critical,SKU175,36,46.94,0.05,1605.35,6.77,Regular Air,Small Box
20003,C703,John,1/29/2020,1/31/2020,2,Medium,SKU1191,5,35.99,0.09,163.75,0.99,Regular Air,Small Pack
53795,C673,John,1/29/2020,1/30/2020,1,High,SKU623,40,6.48,0.1,233.28,6.22,Express Air,Small Box
53795,C673,John,1/29/2020,1/31/2020,2,High,SKU1170,21,195.99,0.05,3910,4.2,Regular Air,Small Box
44167,C377,Richard,1/29/2020,1/30/2020,1,Critical,SKU933,23,142.86,0.08,3022.92,19.99,Regular Air,Small Box
20256,C651,Richard,1/30/2020,2/4/2020,5,Low,SKU932,24,20.89,0.01,496.35,11.52,Regular Air,Small Box
41312,C397,John,1/30/2020,1/31/2020,1,Not Specified,SKU974,21,39.48,0.05,787.63,1.99,Regular Air,Small Pack
54020,C364,Richard,1/30/2020,2/3/2020,4,Low,SKU618,35,18.97,0.05,630.75,5.21,Regular Air,Small Box
54020,C364,Bob,1/30/2020,2/4/2020,5,Low,SKU711,43,6.48,0.09,253.56,6.86,Regular Air,Small Box
57280,C227,Richard,1/30/2020,1/31/2020,1,Medium,SKU706,44,6.48,0.03,276.57,10.05,Express Air,Small Box
58113,C038,John,1/31/2020,2/2/2020,2,High,SKU412,48,7.68,0.07,342.84,6.16,Regular Air,Small Box
58113,C038,Richard,1/31/2020,2/2/2020,2,High,SKU1140,12,200.99,0.05,2291.29,4.2,Express Air,Small Box
34470,C790,Bob,1/31/2020,2/1/2020,1,Critical,SKU007,31,100.98,0.08,2879.95,57.38,Delivery Truck,Jumbo Box
6757,C114,John,1/31/2020,2/2/2020,2,Medium,SKU935,27,34.76,0.1,844.67,8.22,Regular Air,Small Box
6757,C114,Bob,1/31/2020,2/1/2020,1,Medium,SKU256,11,286.85,0.1,2839.82,61.76,Delivery Truck,Jumbo Box
50148,C659,Bob,1/31/2020,2/2/2020,2,Medium,SKU1129,9,1938.02,0,17442.18,13.99,Regular Air,Medium Box
41345,C486,John,2/1/2020,2/1/2020,0,Medium,SKU858,36,1.88,0.04,64.97,0.79,Regular Air,Wrap Bag
22916,C608,John,2/1/2020,2/2/2020,1,Medium,SKU706,18,6.48,0.04,111.97,10.05,Regular Air,Small Box
8832,C307,Richard,2/1/2020,2/5/2020,4,Low,SKU158,39,17.67,0.1,620.22,8.99,Regular Air,Small Pack
32513,C032,Bob,2/1/2020,2/6/2020,5,Low,SKU388,23,165.98,0.03,3703.01,19.99,Regular Air,Small Box
32513,C032,Richard,2/1/2020,2/6/2020,5,Low,SKU825,40,1.6,0.01,63.36,1.29,Regular Air,Wrap Bag
39813,C766,John,2/1/2020,2/2/2020,1,Critical,SKU714,48,6.48,0.03,301.71,6.6,Regular Air,Small Box
40100,C673,Bob,2/3/2020,2/7/2020,4,Low,SKU732,47,19.98,0,939.06,5.77,Regular Air,Small Box
7072,C513,Richard,2/3/2020,2/3/2020,0,Critical,SKU406,29,8.85,0.07,238.68,5.6,Regular Air,Small Box
16549,C199,Richard,2/4/2020,2/6/2020,2,Not Specified,SKU210,22,3.28,0.06,67.83,3.97,Regular Air,Large Box
16548,C210,John,2/4/2020,2/6/2020,2,Not Specified,SKU255,40,71.37,0.04,2740.61,69,Regular Air,Large Box
50567,C790,John,2/4/2020,2/5/2020,1,Medium,SKU069,22,70.98,0.1,1405.4,30,Delivery Truck,Jumbo Drum
40098,C232,Bob,2/4/2020,2/6/2020,2,Low,SKU416,46,11.5,0,529,7.19,Regular Air,Small Box
40098,C232,Bob,2/4/2020,2/8/2020,4,Low,SKU610,50,9.68,0,484,2.03,Regular Air,Wrap Bag
34083,C067,John,2/4/2020,2/4/2020,0,Not Specified,SKU1200,29,55.99,0.02,1591.24,5,Express Air,Small Pack
58978,C450,Bob,2/5/2020,2/12/2020,7,Low,SKU650,13,5.98,0.09,70.74,5.15,Regular Air,Small Box
2755,C351,John,2/5/2020,2/5/2020,0,Not Specified,SKU425,30,24.95,0.03,726.04,2.99,Regular Air,Small Box
2755,C351,John,2/5/2020,2/5/2020,0,Not Specified,SKU632,50,6.48,0,324,5.86,Regular Air,Small Box
16866,C605,Bob,2/5/2020,2/6/2020,1,Not Specified,SKU1237,43,65.99,0.06,2667.32,3.99,Regular Air,Small Box
24448,C660,Richard,2/5/2020,2/7/2020,2,High,SKU241,46,236.97,0.05,10355.59,59.24,Delivery Truck,Jumbo Box
27909,C552,Bob,2/6/2020,2/8/2020,2,Critical,SKU661,1,54.96,0.09,50.01,10.75,Regular Air,Small Box
27909,C552,John,2/6/2020,2/9/2020,3,Critical,SKU843,47,1.26,0.07,55.07,0.7,Regular Air,Wrap Bag
28390,C142,John,2/6/2020,2/8/2020,2,High,SKU198,44,20.28,0.1,803.09,6.68,Regular Air,Small Box
11683,C290,John,2/6/2020,2/6/2020,0,Not Specified,SKU1209,28,65.99,0.03,1792.29,5.99,Regular Air,Small Box
8224,C390,John,2/6/2020,2/8/2020,2,Not Specified,SKU815,41,2.21,0.03,87.89,1,Regular Air,Wrap Bag
50822,C133,Bob,2/6/2020,2/7/2020,1,Medium,SKU077,6,276.2,0.1,1491.48,24.49,Regular Air,Large Box
50822,C133,John,2/6/2020,2/7/2020,1,Medium,SKU1017,37,8.12,0.01,297.44,2.83,Express Air,Small Pack
34117,C769,John,2/6/2020,2/8/2020,2,High,SKU453,45,6.75,0.06,285.52,2.99,Regular Air,Small Box
27109,C069,John,2/7/2020,2/9/2020,2,Critical,SKU1040,48,10.97,0.01,521.29,6.5,Regular Air,Small Box
37763,C013,Richard,2/7/2020,2/8/2020,1,Not Specified,SKU442,29,5.94,0.1,155.03,9.92,Regular Air,Small Box
37763,C013,Bob,2/7/2020,2/8/2020,1,Not Specified,SKU1167,24,65.99,0.1,1425.38,2.5,Regular Air,Small Box
27557,C647,John,2/7/2020,2/12/2020,5,Low,SKU533,18,2.88,0.02,50.8,5.33,Regular Air,Small Box
43906,C780,Bob,2/7/2020,2/8/2020,1,High,SKU1022,50,73.98,0.04,3551.04,14.52,Regular Air,Small Box
23140,C504,Richard,2/7/2020,2/9/2020,2,High,SKU171,18,99.23,0.05,1696.83,8.99,Regular Air,Small Pack
23140,C504,Bob,2/7/2020,2/7/2020,0,High,SKU824,16,7.08,0.02,111.01,2.35,Regular Air,Wrap Bag
28198,C305,John,2/7/2020,2/8/2020,1,Medium,SKU1141,50,175.99,0,8799.5,8.99,Regular Air,Small Box
51111,C265,Bob,2/8/2020,2/10/2020,2,Not Specified,SKU1144,1,65.99,0.02,64.67,5.92,Regular Air,Small Box
4162,C029,Bob,2/8/2020,2/12/2020,4,Low,SKU919,2,193.17,0.1,347.71,19.99,Regular Air,Small Box
