Order ID,Customer ID,SalesPerson,Order Date,Ship Date,Order Priority,SKU,Order Quantity,Unit Sell Price,Discount,Shipping Amount,Ship Mode,Product Container
59232,C648,Bob,1/5/2017,1/7/2017,High,SKU567,23,30.98,0,5.76,Regular Air,Small Box
23488,C408,John,1/6/2017,1/7/2017,Critical,SKU022,30,880.98,0.04,44.55,Delivery Truck,Jumbo Box
48226,C177,Richard,1/6/2017,1/6/2017,Low,SKU008,23,100.98,0.02,35.84,Delivery Truck,Jumbo Box
6854,C784,Richard,1/6/2017,1/8/2017,Medium,SKU412,1,7.68,0.07,6.16,Express Air,Small Box
6854,C784,Bob,1/6/2017,1/8/2017,Medium,SKU169,19,6.64,0.05,4.95,Express Air,Small Pack
14274,C181,Richard,1/6/2017,1/8/2017,Not Specified,SKU068,23,150.98,0.01,30,Delivery Truck,Jumbo Drum
14274,C181,Richard,1/6/2017,1/8/2017,Not Specified,SKU906,46,28.28,0.01,13.99,Express Air,Medium Box
14274,C181,John,1/6/2017,1/7/2017,Not Specified,SKU1194,2,35.99,0.03,1.1,Regular Air,Small Box
16770,C555,Bob,1/6/2017,1/7/2017,Critical,SKU821,17,2.1,0.03,0.7,Regular Air,Wrap Bag
16961,C771,John,1/6/2017,1/7/2017,Not Specified,SKU978,27,1.7,0.06,1.99,Regular Air,Small Pack
16961,C771,John,1/6/2017,1/8/2017,Not Specified,SKU629,34,30.98,0.01,5.09,Regular Air,Small Box
41094,C493,Richard,1/6/2017,1/8/2017,Low,SKU727,46,6.48,0.09,8.73,Regular Air,Small Box
41094,C493,John,1/6/2017,1/10/2017,Low,SKU963,6,20.34,0.05,35,Regular Air,Large Box
23490,C406,Bob,1/6/2017,1/8/2017,High,SKU801,29,3.28,0.03,3.97,Regular Air,Wrap Bag
32295,C602,Richard,1/7/2017,1/8/2017,High,SKU1209,11,65.99,0.07,5.99,Regular Air,Small Box
18405,C302,Richard,1/7/2017,1/9/2017,Medium,SKU433,30,20.98,0.09,8.83,Express Air,Small Box
18405,C302,Bob,1/7/2017,1/10/2017,Medium,SKU1022,2,73.98,0.03,14.52,Regular Air,Small Box
40704,C411,Richard,1/7/2017,1/12/2017,Low,SKU781,6,1.76,0.01,0.7,Regular Air,Wrap Bag
3073,C359,Richard,1/7/2017,1/8/2017,Medium,SKU359,3,1.98,0.05,4.77,Regular Air,Small Box
3073,C359,Richard,1/7/2017,1/8/2017,Medium,SKU1074,3,699.99,0.07,24.49,Express Air,Large Box
3073,C359,Bob,1/7/2017,1/8/2017,Medium,SKU1130,7,6783.02,0.07,24.49,Regular Air,Large Box
33923,C084,Richard,1/7/2017,1/11/2017,Low,SKU1209,34,65.99,0.05,5.99,Regular Air,Small Box
43909,C148,Bob,1/7/2017,1/8/2017,High,SKU399,46,15.99,0.08,13.18,Regular Air,Small Box
4193,C673,John,1/8/2017,1/8/2017,High,SKU513,16,4.13,0.07,0.99,Regular Air,Small Box
4193,C673,John,1/8/2017,1/8/2017,High,SKU165,3,22.72,0.03,8.99,Regular Air,Small Pack
30083,C482,Bob,1/8/2017,1/9/2017,Not Specified,SKU261,23,14.56,0.07,3.5,Regular Air,Small Box
7203,C662,Richard,1/8/2017,1/10/2017,High,SKU391,25,896.99,0.03,19.99,Regular Air,Small Box
18561,C398,Richard,1/9/2017,1/10/2017,Not Specified,SKU501,9,4.13,0.02,6.89,Regular Air,Small Box
40097,C584,Richard,1/9/2017,1/14/2017,Low,SKU734,47,2.6,0.1,2.4,Regular Air,Wrap Bag
31715,C498,Bob,1/9/2017,1/11/2017,Not Specified,SKU799,24,2.78,0.09,0.97,Regular Air,Wrap Bag
58343,C794,John,1/9/2017,1/11/2017,Not Specified,SKU835,39,3.29,0.07,1.35,Regular Air,Wrap Bag
47138,C083,Bob,1/9/2017,1/16/2017,Low,SKU1225,1,125.99,0.04,8.99,Regular Air,Small Box
8576,C188,Bob,1/9/2017,1/11/2017,High,SKU750,43,11.66,0,8.99,Express Air,Small Pack
31715,C498,John,1/9/2017,1/10/2017,Not Specified,SKU338,11,5.38,0.01,7.57,Regular Air,Small Box
31715,C498,Richard,1/9/2017,1/9/2017,Not Specified,SKU797,44,3.28,0.05,3.97,Regular Air,Wrap Bag
55367,C450,John,1/10/2017,1/11/2017,Critical,SKU012,31,70.98,0.05,46.74,Delivery Truck,Jumbo Box
55367,C450,John,1/10/2017,1/12/2017,Critical,SKU779,48,11.55,0.05,2.36,Regular Air,Wrap Bag
31553,C692,Bob,1/10/2017,1/12/2017,Critical,SKU481,32,162.93,0.09,19.99,Regular Air,Small Box
28290,C489,Bob,1/10/2017,1/14/2017,Low,SKU988,43,30.42,0.05,8.65,Express Air,Small Box
28290,C489,Richard,1/10/2017,1/12/2017,Low,SKU923,3,161.55,0.01,19.99,Express Air,Small Box
14596,C201,Richard,1/10/2017,1/12/2017,Critical,SKU122,24,8.34,0.01,0.96,Regular Air,Wrap Bag
14596,C201,Richard,1/10/2017,1/11/2017,Critical,SKU797,19,3.28,0.06,3.97,Regular Air,Wrap Bag
33988,C642,Bob,1/10/2017,1/11/2017,Medium,SKU1012,30,5.02,0,5.14,Regular Air,Small Pack
28999,C307,John,1/10/2017,1/11/2017,High,SKU1016,34,33.98,0.02,1.99,Regular Air,Small Pack
20037,C539,Bob,1/10/2017,1/15/2017,Low,SKU120,35,29.18,0.02,8.55,Regular Air,Small Box
20037,C539,Richard,1/10/2017,1/15/2017,Low,SKU1125,49,297.64,0.03,14.7,Delivery Truck,Jumbo Drum
44391,C042,John,1/10/2017,1/11/2017,Not Specified,SKU705,16,6.48,0.02,9.17,Regular Air,Small Box
19655,C011,John,1/11/2017,1/12/2017,High,SKU1063,31,39.24,0.06,1.99,Regular Air,Small Pack
33797,C101,Richard,1/11/2017,1/11/2017,Not Specified,SKU1125,20,297.64,0.08,14.7,Delivery Truck,Jumbo Drum
33797,C101,Richard,1/11/2017,1/12/2017,Not Specified,SKU209,44,12.99,0.02,14.37,Regular Air,Large Box
33797,C101,John,1/11/2017,1/12/2017,Not Specified,SKU300,18,14.42,0.06,6.75,Regular Air,Medium Box
33797,C101,Bob,1/11/2017,1/13/2017,Not Specified,SKU137,29,4.14,0.05,6.6,Express Air,Small Box
33797,C101,Bob,1/11/2017,1/11/2017,Not Specified,SKU612,18,11.34,0.03,5.01,Regular Air,Small Box
21830,C035,Richard,1/11/2017,1/18/2017,Low,SKU1116,19,399.98,0.08,12.06,Delivery Truck,Jumbo Box
37862,C320,Richard,1/12/2017,1/15/2017,Not Specified,SKU273,27,59.98,0.01,3.99,Regular Air,Small Box
43362,C637,John,1/12/2017,1/15/2017,Critical,SKU073,45,350.98,0.03,30,Delivery Truck,Jumbo Drum
43362,C637,Richard,1/12/2017,1/14/2017,Critical,SKU812,33,1.68,0.04,1,Regular Air,Wrap Bag
20549,C167,Bob,1/12/2017,1/13/2017,Not Specified,SKU922,40,27.75,0.09,19.99,Regular Air,Small Box
27813,C475,Richard,1/12/2017,1/14/2017,Medium,SKU1054,10,40.98,0.1,6.5,Regular Air,Small Box
7461,C315,John,1/12/2017,1/14/2017,Low,SKU045,12,350.99,0.05,39,Delivery Truck,Jumbo Drum
7461,C315,Bob,1/12/2017,1/16/2017,Low,SKU464,28,8.74,0,1.39,Regular Air,Small Box
7461,C315,John,1/12/2017,1/16/2017,Low,SKU845,44,1.98,0.02,0.7,Regular Air,Wrap Bag
51623,C537,Richard,1/13/2017,1/13/2017,Critical,SKU152,17,2.08,0.06,5.33,Regular Air,Small Box
25541,C545,Richard,1/13/2017,1/15/2017,Low,SKU631,50,5.98,0.07,5.79,Regular Air,Small Box
13602,C112,Bob,1/13/2017,1/18/2017,Low,SKU1123,3,145.45,0.03,17.85,Delivery Truck,Jumbo Drum
13602,C112,John,1/13/2017,1/13/2017,Low,SKU638,13,48.04,0.02,5.09,Regular Air,Small Box
34691,C174,John,1/14/2017,1/16/2017,Critical,SKU309,27,7.77,0.08,9.23,Regular Air,Small Box
34691,C174,John,1/14/2017,1/14/2017,Critical,SKU1115,23,306.14,0.02,26.53,Delivery Truck,Jumbo Drum
34691,C174,Bob,1/14/2017,1/16/2017,Critical,SKU659,13,18.97,0.1,9.54,Express Air,Small Box
30567,C758,Richard,1/14/2017,1/14/2017,Not Specified,SKU258,14,208.16,0.1,68.02,Delivery Truck,Jumbo Drum
30567,C758,Bob,1/14/2017,1/15/2017,Not Specified,SKU497,8,90.48,0.07,19.99,Regular Air,Small Box
30567,C758,Bob,1/14/2017,1/16/2017,Not Specified,SKU111,3,9.48,0.01,7.29,Express Air,Small Pack
30567,C758,Richard,1/14/2017,1/15/2017,Not Specified,SKU796,14,4.28,0.02,0.94,Regular Air,Wrap Bag
8325,C367,Bob,1/14/2017,1/16/2017,Critical,SKU1108,21,115.99,0.08,56.14,Delivery Truck,Jumbo Drum
8325,C367,John,1/14/2017,1/17/2017,Critical,SKU796,27,4.28,0.08,0.94,Regular Air,Wrap Bag
43911,C736,John,1/14/2017,1/14/2017,Medium,SKU202,29,19.99,0.06,11.17,Regular Air,Large Box
43911,C736,Richard,1/14/2017,1/15/2017,Medium,SKU1122,36,264.98,0,17.86,Delivery Truck,Jumbo Drum
43911,C736,Richard,1/14/2017,1/16/2017,Medium,SKU053,23,320.98,0.06,58.95,Delivery Truck,Jumbo Drum
6884,C706,Richard,1/15/2017,1/20/2017,Low,SKU564,41,4.98,0.01,4.75,Regular Air,Small Box
6884,C706,John,1/15/2017,1/20/2017,Low,SKU596,47,6.35,0.04,1.02,Regular Air,Wrap Bag
37729,C308,Richard,1/15/2017,1/15/2017,Not Specified,SKU358,48,8.6,0,6.19,Regular Air,Small Box
48773,C030,Bob,1/15/2017,1/17/2017,Medium,SKU606,7,7.04,0.06,2.17,Regular Air,Wrap Bag
12676,C366,John,1/15/2017,1/16/2017,High,SKU087,25,8.09,0.08,7.96,Express Air,Small Box
22243,C031,John,1/15/2017,1/16/2017,Critical,SKU795,9,2.88,0.09,0.7,Regular Air,Wrap Bag
31781,C733,Bob,1/16/2017,1/17/2017,Medium,SKU379,46,5.81,0.1,8.49,Regular Air,Small Box
31781,C733,Richard,1/16/2017,1/17/2017,Medium,SKU842,41,1.81,0.03,0.75,Regular Air,Wrap Bag
2370,C677,Bob,1/16/2017,1/18/2017,Critical,SKU194,6,110.98,0.02,13.99,Regular Air,Medium Box
2370,C677,Richard,1/16/2017,1/18/2017,Critical,SKU597,30,8.01,0.01,2.87,Regular Air,Wrap Bag
39173,C358,Richard,1/16/2017,1/18/2017,Critical,SKU862,36,2.18,0.09,0.78,Regular Air,Wrap Bag
39173,C358,Bob,1/16/2017,1/18/2017,Critical,SKU227,2,179.29,0.05,29.21,Delivery Truck,Jumbo Box
30915,C793,John,1/16/2017,1/16/2017,Low,SKU813,20,2.98,0.04,2.03,Express Air,Wrap Bag
30915,C793,Bob,1/16/2017,1/21/2017,Low,SKU1225,25,125.99,0.01,8.99,Regular Air,Small Box
49541,C384,Richard,1/16/2017,1/17/2017,Medium,SKU917,35,13.43,0,5.5,Regular Air,Small Box
22147,C152,Richard,1/16/2017,1/20/2017,Low,SKU165,37,22.72,0.04,8.99,Regular Air,Small Pack
12771,C131,John,1/17/2017,1/17/2017,Critical,SKU502,40,30.53,0.08,19.99,Regular Air,Small Box
12771,C131,Bob,1/17/2017,1/19/2017,Critical,SKU788,46,1.68,0.01,1.57,Regular Air,Wrap Bag
46884,C599,Richard,1/17/2017,1/18/2017,Medium,SKU779,25,11.55,0.1,2.36,Regular Air,Wrap Bag
1921,C084,Richard,1/17/2017,1/19/2017,Medium,SKU324,24,328.14,0.05,91.05,Delivery Truck,Jumbo Drum
18945,C392,Bob,1/17/2017,1/19/2017,Medium,SKU1031,33,16.48,0.06,1.99,Regular Air,Small Pack
10272,C426,Richard,1/17/2017,1/19/2017,Medium,SKU497,3,90.48,0.03,19.99,Regular Air,Small Box
10272,C426,John,1/17/2017,1/17/2017,Medium,SKU700,26,22.84,0.06,8.18,Regular Air,Small Box
43620,C386,Bob,1/17/2017,1/20/2017,Medium,SKU301,13,14.81,0.05,13.32,Regular Air,Small Box
43620,C386,Richard,1/17/2017,1/19/2017,Medium,SKU568,11,4.2,0.05,2.26,Express Air,Wrap Bag
32868,C625,John,1/17/2017,1/18/2017,Not Specified,SKU757,39,28.15,0.05,6.17,Regular Air,Small Pack
46884,C599,John,1/17/2017,1/19/2017,Medium,SKU487,18,7.64,0.1,1.39,Regular Air,Small Box
46884,C599,John,1/17/2017,1/19/2017,Medium,SKU1163,3,125.99,0,2.5,Regular Air,Small Box
48199,C266,Bob,1/18/2017,1/21/2017,Not Specified,SKU468,47,15.74,0.1,1.39,Regular Air,Small Box
58784,C449,Bob,1/18/2017,1/20/2017,Medium,SKU045,25,350.99,0.05,39,Delivery Truck,Jumbo Drum
58784,C449,John,1/18/2017,1/20/2017,Medium,SKU1085,20,15.99,0.04,9.4,Express Air,Small Box
22118,C562,Richard,1/18/2017,1/18/2017,High,SKU345,50,58.1,0.05,1.49,Regular Air,Small Box
58784,C449,Bob,1/18/2017,1/19/2017,Medium,SKU483,12,11.58,0.02,5.72,Regular Air,Small Box
58784,C449,John,1/18/2017,1/18/2017,Medium,SKU620,29,48.91,0.06,5.81,Regular Air,Small Box
58784,C449,John,1/18/2017,1/19/2017,Medium,SKU959,17,15.51,0.02,17.78,Regular Air,Small Box
20711,C149,John,1/19/2017,1/21/2017,Critical,SKU558,5,18.97,0.1,9.03,Regular Air,Small Box
16999,C722,Richard,1/19/2017,1/21/2017,Critical,SKU321,18,207.48,0.09,0.99,Regular Air,Small Box
20711,C149,Bob,1/19/2017,1/20/2017,Critical,SKU1103,18,119.99,0,56.14,Delivery Truck,Jumbo Box
66,C061,Richard,1/19/2017,1/19/2017,Low,SKU800,41,2.88,0.09,0.7,Regular Air,Wrap Bag
44197,C186,Bob,1/20/2017,1/23/2017,High,SKU005,27,140.98,0.02,53.48,Delivery Truck,Jumbo Box
38340,C738,John,1/20/2017,1/21/2017,Critical,SKU293,36,60.22,0.02,3.5,Regular Air,Small Box
38021,C642,John,1/21/2017,1/23/2017,Medium,SKU432,46,30.44,0.02,1.49,Regular Air,Small Box
37638,C003,Bob,1/21/2017,1/23/2017,Low,SKU501,33,4.13,0.07,6.89,Regular Air,Small Box
31138,C062,Bob,1/21/2017,1/23/2017,High,SKU248,37,31.76,0.05,45.51,Delivery Truck,Jumbo Box
49505,C325,Bob,1/21/2017,1/23/2017,Critical,SKU463,12,7.84,0.04,4.71,Regular Air,Small Box
49505,C325,Bob,1/21/2017,1/22/2017,Critical,SKU1039,34,9.78,0.04,1.99,Express Air,Small Pack
38021,C642,Bob,1/21/2017,1/22/2017,Medium,SKU323,16,279.81,0.04,23.19,Delivery Truck,Jumbo Drum
38021,C642,Richard,1/21/2017,1/22/2017,Medium,SKU525,36,4.91,0.02,0.5,Regular Air,Small Box
52608,C743,Richard,1/21/2017,1/25/2017,Low,SKU735,36,3.98,0.05,0.7,Regular Air,Wrap Bag
58759,C032,Bob,1/21/2017,1/28/2017,Low,SKU597,4,8.01,0.1,2.87,Regular Air,Wrap Bag
32800,C453,John,1/21/2017,1/22/2017,Not Specified,SKU054,33,355.98,0.04,58.92,Delivery Truck,Jumbo Drum
32800,C453,Richard,1/21/2017,1/22/2017,Not Specified,SKU584,19,19.98,0.09,8.68,Regular Air,Small Box
32800,C453,Bob,1/21/2017,1/23/2017,Not Specified,SKU584,40,19.98,0.07,8.68,Regular Air,Small Box
35936,C659,Bob,1/21/2017,1/22/2017,Medium,SKU463,41,7.84,0.08,4.71,Regular Air,Small Box
35936,C659,Bob,1/21/2017,1/22/2017,Medium,SKU115,40,105.34,0.03,24.49,Regular Air,Large Box
28226,C447,Bob,1/22/2017,1/22/2017,Critical,SKU094,9,20.28,0,14.39,Regular Air,Small Box
13636,C669,Richard,1/22/2017,1/26/2017,Low,SKU022,32,880.98,0.02,44.55,Delivery Truck,Jumbo Box
53891,C565,Bob,1/22/2017,1/22/2017,High,SKU410,36,15.22,0.02,9.73,Regular Air,Small Box
28225,C319,John,1/22/2017,1/24/2017,Critical,SKU893,13,80.98,0.01,35,Regular Air,Large Box
53891,C565,Bob,1/22/2017,1/23/2017,High,SKU1049,27,179.99,0.07,19.99,Regular Air,Small Box
53891,C565,Richard,1/22/2017,1/23/2017,High,SKU119,44,92.23,0.02,39.61,Express Air,Medium Box
53891,C565,Richard,1/22/2017,1/23/2017,High,SKU1175,25,115.99,0.03,5.92,Express Air,Small Box
55360,C663,Bob,1/22/2017,1/24/2017,Medium,SKU519,49,2.89,0.07,0.5,Regular Air,Small Box
55360,C663,John,1/22/2017,1/23/2017,Medium,SKU240,39,217.85,0,29.1,Delivery Truck,Jumbo Box
7815,C031,Bob,1/22/2017,1/23/2017,Critical,SKU1051,6,32.98,0.09,5.5,Regular Air,Small Box
10661,C383,Bob,1/23/2017,1/24/2017,Not Specified,SKU866,18,6.84,0,8.37,Regular Air,Small Pack
10661,C383,Richard,1/23/2017,1/25/2017,Not Specified,SKU567,42,30.98,0.07,5.76,Regular Air,Small Box
24802,C785,Bob,1/23/2017,1/25/2017,Medium,SKU1020,18,73.98,0.01,12.14,Regular Air,Small Box
29319,C282,Bob,1/24/2017,1/26/2017,Low,SKU078,30,238.4,0.1,24.49,Regular Air,Large Box
29319,C282,John,1/24/2017,1/26/2017,Low,SKU1076,21,199.99,0.03,24.49,Express Air,Large Box
58277,C526,Richard,1/24/2017,1/26/2017,Medium,SKU295,23,11.7,0.01,6.96,Regular Air,Medium Box
33025,C220,Richard,1/24/2017,1/29/2017,Low,SKU290,5,67.84,0.08,0.99,Regular Air,Small Box
19234,C187,John,1/24/2017,1/24/2017,High,SKU300,24,14.42,0.01,6.75,Regular Air,Medium Box
12869,C455,Bob,1/25/2017,1/28/2017,Not Specified,SKU1154,15,125.99,0.1,8.99,Regular Air,Small Box
7043,C307,Bob,1/25/2017,1/26/2017,Critical,SKU141,4,1.74,0.06,4.08,Regular Air,Small Pack
20422,C300,John,1/26/2017,1/27/2017,High,SKU192,30,14.34,0.03,5,Regular Air,Small Pack
20422,C300,Richard,1/26/2017,1/28/2017,High,SKU519,5,2.89,0.01,0.5,Regular Air,Small Box
17186,C443,Bob,1/26/2017,1/28/2017,Medium,SKU128,49,90.98,0.08,56.2,Regular Air,Medium Box
17186,C443,John,1/26/2017,1/28/2017,Medium,SKU663,11,5.98,0.07,5.35,Regular Air,Small Box
55937,C711,Richard,1/26/2017,1/28/2017,Medium,SKU1000,10,39.98,0.09,7.12,Regular Air,Small Box
55937,C711,Richard,1/26/2017,1/28/2017,Medium,SKU233,24,376.13,0.06,85.63,Delivery Truck,Jumbo Box
24544,C738,John,1/26/2017,1/27/2017,High,SKU1090,31,150.98,0.08,13.99,Express Air,Medium Box
24544,C738,Richard,1/26/2017,1/27/2017,High,SKU049,15,25.98,0.03,14.36,Delivery Truck,Jumbo Drum
24544,C738,John,1/26/2017,1/27/2017,High,SKU915,39,32.48,0.1,35,Regular Air,Large Box
15718,C691,Bob,1/27/2017,1/28/2017,Critical,SKU798,36,2.94,0.09,0.7,Regular Air,Wrap Bag
11686,C526,Bob,1/27/2017,1/28/2017,Not Specified,SKU1260,38,205.99,0.08,2.5,Regular Air,Small Box
15718,C691,John,1/27/2017,1/29/2017,Critical,SKU748,41,43.98,0.03,8.99,Regular Air,Small Pack
15718,C691,Richard,1/27/2017,1/30/2017,Critical,SKU849,50,1.14,0.06,0.7,Regular Air,Wrap Bag
10530,C784,Richard,1/27/2017,1/29/2017,Medium,SKU1244,4,110.99,0.02,2.5,Regular Air,Small Box
8868,C166,Bob,1/28/2017,2/6/2017,Low,SKU273,3,59.98,0.02,3.99,Regular Air,Small Box
8868,C166,John,1/28/2017,2/1/2017,Low,SKU457,34,5.18,0.03,5.74,Regular Air,Small Box
19047,C005,Richard,1/28/2017,1/29/2017,High,SKU660,1,55.48,0.06,14.3,Regular Air,Small Box
19047,C005,Richard,1/28/2017,1/30/2017,High,SKU788,3,1.68,0.02,1.57,Regular Air,Wrap Bag
17155,C124,John,1/28/2017,1/29/2017,Medium,SKU544,36,6.88,0,2,Express Air,Wrap Bag
17155,C124,John,1/28/2017,1/28/2017,Medium,SKU915,31,32.48,0.03,35,Express Air,Large Box
20480,C473,John,1/29/2017,1/31/2017,Medium,SKU001,4,240.98,0.02,60.2,Delivery Truck,Jumbo Box
20480,C473,Bob,1/29/2017,2/1/2017,Medium,SKU386,38,420.98,0.02,19.99,Regular Air,Small Box
20484,C427,Richard,1/29/2017,1/31/2017,Critical,SKU1248,14,95.99,0.09,4.9,Regular Air,Small Box
5316,C173,Richard,1/30/2017,2/1/2017,Critical,SKU1035,42,31.78,0.1,1.99,Regular Air,Small Pack
21383,C637,Richard,1/30/2017,2/4/2017,Low,SKU1128,31,574.74,0.07,24.49,Regular Air,Large Box
35847,C275,Richard,1/30/2017,1/30/2017,Critical,SKU1006,23,15.98,0.08,8.99,Express Air,Small Pack
30341,C506,Richard,1/31/2017,1/31/2017,Low,SKU072,42,160.98,0.09,30,Delivery Truck,Jumbo Drum
30341,C506,John,1/31/2017,1/31/2017,Low,SKU526,41,6.3,0.09,0.5,Regular Air,Small Box
30341,C506,John,1/31/2017,2/7/2017,Low,SKU577,30,4.98,0,0.8,Regular Air,Wrap Bag
18595,C059,Richard,1/31/2017,2/2/2017,Critical,SKU307,6,78.65,0.1,13.99,Regular Air,Medium Box
18595,C059,John,1/31/2017,2/2/2017,Critical,SKU873,16,8.34,0.03,2.64,Regular Air,Small Pack
52416,C205,John,1/31/2017,2/2/2017,Not Specified,SKU578,6,7.64,0.05,5.83,Regular Air,Wrap Bag
52416,C205,John,1/31/2017,2/1/2017,Not Specified,SKU228,40,218.75,0.04,69.64,Delivery Truck,Jumbo Box
40101,C392,John,1/31/2017,2/5/2017,Low,SKU1060,46,49.99,0.1,19.99,Express Air,Small Box
15270,C491,Bob,1/31/2017,2/2/2017,Not Specified,SKU545,36,6.98,0,1.6,Regular Air,Wrap Bag
4454,C266,John,2/1/2017,2/6/2017,Low,SKU518,17,3.08,0.01,0.5,Regular Air,Small Box
32676,C405,John,2/1/2017,2/4/2017,Critical,SKU1067,37,45.19,0.06,1.99,Regular Air,Small Pack
30053,C487,Richard,2/1/2017,2/3/2017,Critical,SKU1112,41,80.97,0.06,33.6,Delivery Truck,Jumbo Drum
13604,C266,Richard,2/2/2017,2/4/2017,Not Specified,SKU1043,38,83.1,0.04,6.13,Regular Air,Small Box
13604,C266,Richard,2/2/2017,2/5/2017,Not Specified,SKU128,42,90.98,0.07,56.2,Regular Air,Medium Box
19493,C091,Richard,2/2/2017,2/3/2017,Critical,SKU253,31,154.13,0.1,69,Regular Air,Large Box
39904,C018,Richard,2/2/2017,2/3/2017,Not Specified,SKU087,44,8.09,0,7.96,Regular Air,Small Box
55713,C015,Richard,2/2/2017,2/4/2017,High,SKU042,49,122.99,0.09,70.2,Delivery Truck,Jumbo Drum
38529,C201,Bob,2/2/2017,2/2/2017,Low,SKU849,38,1.14,0.02,0.7,Regular Air,Wrap Bag
21222,C133,Richard,2/3/2017,2/5/2017,Not Specified,SKU187,36,5.08,0.1,3.63,Regular Air,Wrap Bag
21222,C133,Richard,2/3/2017,2/5/2017,Not Specified,SKU1188,26,35.99,0.02,5,Regular Air,Small Box
44387,C266,John,2/4/2017,2/9/2017,Low,SKU1066,50,29.89,0.07,1.99,Express Air,Small Pack
